track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,song_age,stream_group,bpm_group,energy_group,dance_group,song_type,platform_score,hit_score,cross_platform_success,streams_log
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226.0,24,98,582,2,73.0,135,Unknown,Minor,48,44,42,12,2,11,3,2013-01-01,10,high,fast,mid_energy,mid_dance,other,13748.0,1037622277.7,13465,20.983339963356148
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,17,152,32,11,139.0,133,F,Minor,85,81,67,26,0,12,5,2023-05-31,0,mid,fast,mid_energy,high_dance,other,1704.0,160517912.10000002,1362,19.117058809577617
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0,74,182,87,14,1093.0,99,C#,Major,85,83,68,7,0,36,20,2023-06-02,0,low,medium,mid_energy,high_dance,other,3482.0,92291852.00000001,2106,18.563607776488762
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168.0,130,G,Minor,79,96,86,9,0,9,9,2023-06-22,0,low,fast,high_energy,high_dance,party_song,624.0,62640550.800000004,276,18.176066526187856
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0,202,119,318,38,96.0,107,B,Major,80,82,80,43,0,14,4,2022-03-25,1,high,medium,high_energy,high_dance,party_song,7962.0,719347426.1000001,7632,20.6169975593974
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,35,109,41,14,211.0,122,F#,Minor,81,74,71,14,0,56,4,2023-06-29,0,low,fast,high_energy,high_dance,party_song,1309.0,48996321.1,935,17.930397506473128
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325.0,204,F#,Major,52,52,68,46,0,15,4,2023-01-31,0,mid,fast,mid_energy,mid_dance,other,2939.0,343864093.5,2487,19.878899904587904
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0.0,110,B,Minor,67,78,85,2,0,33,5,2023-05-25,0,low,medium,high_energy,mid_dance,other,3270.0,101927472.1,3131,18.662912589055942
Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294.0,126,F,Minor,74,35,84,0,0,11,6,2023-07-13,0,low,fast,high_energy,high_dance,party_song,1493.0,18065023.0,985,16.93262657683202
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197.0,168,F#,Major,56,63,87,39,0,11,5,2023-06-28,0,low,fast,high_energy,mid_dance,other,723.0,41835442.800000004,299,17.77239730543588
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27.0,98,C#,Minor,71,17,61,36,0,8,5,2022-12-02,1,high,medium,mid_energy,high_dance,sad_song,6681.0,675166620.4,6394,20.55361270887595
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310.0,97,E,Major,64,51,63,12,0,19,5,2022-10-21,1,high,medium,mid_energy,mid_dance,other,10006.0,799799535.4000001,9489,20.723014083259113
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184,18,354.0,180,E,Minor,72,61,63,67,0,9,28,2023-02-23,0,high,fast,mid_energy,high_dance,other,5127.0,495192747.7,4583,20.243600311950104
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184.0,120,Unknown,Major,81,63,68,11,0,11,4,2023-06-01,0,low,medium,mid_energy,high_dance,other,1461.0,98498048.5,1206,18.628689654190275
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212.0,150,F#,Major,61,39,73,37,0,11,3,2023-04-07,0,mid,fast,high_energy,mid_dance,other,1078.0,151146872.2,715,19.05690567513628
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81.0,96,F,Major,75,57,68,9,0,13,6,2014-01-01,9,high,medium,mid_energy,high_dance,other,12257.0,1084768408.7,11998,21.027774846068187
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82.0,95,D,Major,60,48,79,0,0,12,4,2014-01-01,9,high,medium,high_energy,mid_dance,other,8314.0,628946256.0000001,8075,20.48269866842112
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100.0,125,F,Minor,79,96,85,27,0,11,6,2023-05-19,0,low,fast,high_energy,high_dance,party_song,908.0,141242842.00000003,615,18.98913437428238
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62.0,144,A,Minor,56,84,65,23,0,10,6,2023-02-10,0,mid,fast,mid_energy,mid_dance,other,905.0,283596398.1,708,19.6862059532179
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69.0,90,D,Major,76,91,50,54,0,7,5,2018-10-09,5,high,slow,mid_energy,high_dance,other,25577.0,2246479657.2000003,25309,21.75577270677811
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727.0,128,G,Minor,56,38,97,4,0,35,4,2022-08-26,1,high,fast,high_energy,mid_dance,other,14346.0,887547791.4000001,13310,20.82711506418297
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311.0,79,F#,Major,56,58,56,37,0,11,10,2017-07-21,6,high,slow,mid_energy,mid_dance,other,14145.0,837682377.9000001,13711,20.76929150914099
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,82,145,65,16,1133.0,144,Unknown,Major,77,75,58,52,0,23,25,2023-06-23,0,low,fast,mid_energy,high_dance,other,2638.0,52125078.900000006,1264,17.992298022011063
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102.0,122,F,Major,67,49,64,10,0,10,3,2020-11-27,3,high,fast,mid_energy,mid_dance,other,3745.0,456412382.3,3575,20.16205011605056
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332.0,140,Unknown,Major,71,82,81,11,0,6,5,2022-05-13,1,high,fast,high_energy,high_dance,party_song,9702.0,868549186.7,9130,20.80547734890892
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259.0,134,C#,Minor,59,51,52,9,0,15,7,2016-11-24,7,high,fast,mid_energy,mid_dance,other,2914.0,1318392575.0000002,2575,21.222822444387607
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,2445,1,140.0,186,G,Major,68,49,59,16,0,13,28,2016-09-21,7,high,fast,mid_energy,mid_dance,other,32619.0,2052426715.9,32262,21.66543080263129
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74,1,16.0,67,C#,Minor,53,50,53,23,0,44,7,2023-02-24,0,high,slow,mid_energy,mid_dance,other,3719.0,414996431.90000004,3569,20.066923201031
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57,10,110.0,106,A#,Minor,72,17,64,7,0,10,5,2023-06-02,0,low,medium,mid_energy,high_dance,sad_song,1621.0,86203213.6,1399,18.49536002644868
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213,11,810.0,128,G,Major,60,23,91,0,0,12,3,2023-04-06,0,low,fast,high_energy,mid_dance,sad_song,5633.0,142192967.1,4635,18.995836118940005
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176.0,107,F#,Minor,92,55,70,18,0,15,7,2023-02-24,0,low,medium,mid_energy,high_dance,party_song,1466.0,122697726.00000001,1170,18.848376979142987
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0,0,0,109,17,0.0,130,G,Minor,67,96,88,12,19,8,4,2023-06-15,0,low,fast,high_energy,mid_dance,other,2444.0,46301383.8,2368,17.87382096854883
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,3394,19,0.0,123,E,Minor,45,13,54,70,0,9,4,2012-10-15,11,high,fast,mid_energy,mid_dance,sad_song,22239.0,1450940778.2,22015,21.318620275543065
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,3421,20,0.0,171,C#,Major,50,38,80,0,0,9,7,2019-11-29,4,high,fast,high_energy,mid_dance,other,48280.0,2963120456.0000005,47992,22.032650825845312
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615.0,137,G,Minor,64,88,72,51,0,17,5,2023-02-24,0,mid,fast,high_energy,mid_dance,other,3510.0,205186977.1,2773,19.36257444854748
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210.0,125,G,Minor,84,85,68,58,0,22,4,2022-05-26,1,high,fast,mid_energy,high_dance,other,7485.0,971267371.3000001,7104,20.917255191971048
S91,Karol G,1,2023,7,14,525,41,16011326.0,34,115,39,6,216.0,128,Unknown,Minor,86,42,72,59,0,9,19,2023-07-14,0,low,fast,high_energy,high_dance,party_song,976.0,12809117.4,598,16.588806967234508
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142,4,215.0,130,Unknown,Minor,61,53,58,55,0,27,4,2020-07-24,3,high,fast,mid_energy,mid_dance,other,8531.0,649616440.8,8171,20.51503498404278
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0,27,17,73,4,167.0,130,B,Major,86,59,96,50,1,9,5,2023-05-04,0,low,fast,high_energy,high_dance,party_song,1034.0,89558205.8,831,18.533542043265836
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37.0,133,F,Major,70,86,81,25,0,25,5,2023-02-03,0,low,fast,high_energy,mid_dance,party_song,5616.0,125071421.7,5440,18.867534885783666
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0,38,0,4,0,0.0,101,D,Major,88,72,59,62,0,9,3,2022-06-24,1,high,medium,mid_energy,high_dance,other,3188.0,576347706.6,3149,20.395364700675124
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728.0,82,121,182,12,171.0,95,F,Minor,77,53,64,74,0,17,14,2023-03-24,0,mid,medium,mid_energy,high_dance,other,4671.0,286340992.70000005,4317,19.695836061948132
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89,11,16.0,98,C#,Minor,90,40,59,0,0,10,29,2022-10-06,1,high,medium,mid_energy,high_dance,other,4933.0,539258635.5,4789,20.32884854287993
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0,196,2,4053,5,0.0,173,B,Major,43,28,66,0,0,23,3,1999-01-01,24,high,fast,mid_energy,mid_dance,sad_song,35657.0,1404174676.9,35607,21.28585686417892
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272.0,90,G#,Major,64,10,62,7,0,48,7,2022-10-21,1,mid,slow,mid_energy,mid_dance,sad_song,4237.0,323650652.90000004,3887,19.818317627268264
People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529.0,198,A#,Minor,59,71,42,55,0,10,7,2022-12-02,1,mid,fast,mid_energy,mid_dance,other,4437.0,298560322.6000001,3780,19.737624917076793
Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31,1,26.0,140,C#,Major,56,48,73,0,0,35,4,2023-07-14,0,low,fast,high_energy,mid_dance,other,572.0,11824384.6,477,16.508814295802388
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5.0,82,G#,Major,51,22,53,1,0,15,3,2023-07-07,0,low,slow,mid_energy,mid_dance,sad_song,312.0,31662559.6,188,17.4937884889954
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0,42,80,58,3,169.0,130,C#,Minor,77,84,89,17,0,43,5,2023-06-23,0,low,fast,high_energy,high_dance,party_song,1391.0,43412985.5,1104,17.809410335832773
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0,386,144,707,28,0.0,81,B,Major,76,53,53,44,0,9,9,2020-06-28,3,high,slow,mid_energy,high_dance,other,23871.0,2046382870.2,23636,21.66248206507772
golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230.0,94,C#,Minor,51,14,59,65,18,25,3,2022-07-15,1,high,medium,mid_energy,mid_dance,sad_song,5032.0,600908076.3000001,4690,20.437095325510455
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,1056,1,0.0,124,A#,Major,61,41,81,5,2,10,3,2012-05-14,11,high,fast,high_energy,mid_dance,other,17784.0,1826218835.3999999,17635,21.548656105748044
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176.0,128,D,Major,62,55,78,1,3,23,4,2022-07-06,1,high,fast,high_energy,mid_dance,other,9064.0,1085252929.5,8764,21.02822167564249
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,4095,9,0.0,138,F,Minor,49,42,62,9,0,11,3,2008-01-01,15,high,fast,mid_energy,mid_dance,other,38297.0,1274331227.2,38226,21.188828237268957
Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84.0,132,E,Major,58,27,48,50,0,12,3,2022-07-17,1,high,fast,mid_energy,mid_dance,sad_song,3601.0,508329962.90000004,3408,20.269784237756593
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154.0,131,D,Major,71,24,47,1,0,27,9,2022-09-22,1,high,fast,mid_energy,high_dance,sad_song,9453.0,984541573.8000001,9123,20.930829360286268
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80,14,194.0,168,F#,Minor,78,58,73,5,0,10,7,2022-12-20,1,high,fast,high_energy,high_dance,party_song,4065.0,468556660.00000006,3745,20.188310364250537
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18,4,93.0,98,C#,Major,68,40,79,33,0,30,6,2023-06-22,0,low,medium,high_energy,mid_dance,other,533.0,35086140.6,400,17.596459218324227
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,1003,1,0.0,102,C#,Major,48,50,73,43,0,15,4,1975-01-01,48,high,medium,high_energy,mid_dance,other,32547.0,1607278856.2,32426,21.420950046606645
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71,0,115.0,101,A#,Major,34,32,57,78,0,20,3,2022-04-22,1,high,medium,mid_energy,low_dance,other,3162.0,480781760.40000004,2921,20.214066970958868
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25,2,72.0,130,F,Major,63,36,34,76,0,35,9,2023-06-23,0,low,fast,low_energy,mid_dance,chill_song,390.0,31767301.2,301,17.497090762252274
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8.0,142,D,Major,50,20,64,1,0,12,3,2023-07-07,0,low,fast,mid_energy,mid_dance,sad_song,257.0,31383158.8,160,17.484925042769156
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0.0,170,C#,Major,59,48,76,4,0,10,5,2021-07-09,2,high,fast,high_energy,mid_dance,other,18506.0,2132276846.2,18340,21.703598938020118
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323.0,124,G#,Minor,78,70,68,3,1,11,4,2023-03-03,0,mid,fast,mid_energy,high_dance,other,2757.0,178906806.20000002,2304,19.225517942043485
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,1800,0,0.0,110,C#,Major,50,45,41,75,0,11,3,2018-11-08,5,high,medium,mid_energy,mid_dance,chill_song,20254.0,2309795240.1000004,20076,21.783567494077975
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49.0,92,C#,Minor,91,43,71,9,0,9,8,2022-05-06,1,high,medium,high_energy,high_dance,party_song,9353.0,1152607145.7,9115,21.088435075300854
Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,2703,22,1451.0,116,D,Major,82,40,66,39,51,25,7,2015-06-22,8,low,medium,mid_energy,high_dance,other,10587.0,132387917.7,8913,18.924385881116365
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,1170.0,129,A,Major,63,84,82,70,8,9,7,2012-06-20,11,low,fast,high_energy,mid_dance,other,1922.0,46443917.900000006,650,17.8768981567295
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429.0,98,G#,Major,71,67,60,19,0,12,3,2023-03-24,0,low,medium,mid_energy,high_dance,other,2076.0,125647241.8,1538,18.8721312675495
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24,0,162.0,172,C#,Minor,74,76,76,6,0,10,9,2023-03-17,0,low,fast,high_energy,high_dance,party_song,1120.0,76105681.30000001,857,18.370775948312016
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29,5,82.0,150,D,Major,68,14,76,4,0,10,4,2023-03-17,0,mid,fast,high_energy,mid_dance,sad_song,2233.0,200244398.4,2019,19.338191727017115
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,0,0,10.0,136,A,Minor,62,19,53,11,0,6,4,2017-11-08,6,high,fast,mid_energy,mid_dance,sad_song,4972.0,548026516.1999999,4894,20.344976889989162
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8,0,0.0,88,C#,Minor,53,34,47,9,0,83,4,2020-06-05,3,low,slow,mid_energy,mid_dance,other,187.0,30729571.8,41,17.46387934929753
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150.0,69,145,69,2,478.0,143,D#,Major,83,69,44,15,0,10,33,2023-05-12,0,low,fast,mid_energy,high_dance,other,2961.0,115652339.8,2313,18.789240835876853
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540.0,49,105,63,1,0.0,100,F#,Minor,49,17,35,71,9,11,3,2023-03-17,0,low,medium,low_energy,mid_dance,chill_song,2264.0,102054236.6,2112,18.66415651563692
Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236.0,143,F,Major,56,39,55,14,0,11,13,2022-12-09,1,mid,fast,mid_energy,mid_dance,other,3357.0,319749692.8,2939,19.80619169578732
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,1632,3,200.0,112,C#,Minor,56,24,66,7,0,12,3,2011-01-01,12,high,medium,mid_energy,mid_dance,sad_song,22452.0,786912044.9000001,22054,20.706768001983445
Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25,4,78.0,93,G,Major,62,57,59,3,0,38,3,2023-06-09,0,low,medium,mid_energy,mid_dance,other,954.0,94785949.70000002,719,18.5902745454182
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5.0,206,G,Major,43,50,55,50,0,15,10,2012-01-01,11,high,fast,mid_energy,mid_dance,other,8909.0,706265794.3,8771,20.598644556824887
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19,2,266.0,88,G,Minor,68,17,71,15,0,11,5,2022-12-02,1,mid,slow,high_energy,mid_dance,sad_song,2591.0,229120348.8,2146,19.472900572659537
Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486.0,170,D,Major,50,37,90,0,0,12,5,2023-04-14,0,low,fast,high_energy,mid_dance,other,3262.0,138260981.50000003,2643,18.967795327865154
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,2394,5,204.0,84,E,Minor,62,24,67,21,0,13,28,2004-01-01,19,high,slow,mid_energy,mid_dance,sad_song,15796.0,993248539.0000001,15428,20.93963372038009
New Jeans,NewJeans,1,2023,7,7,77,35,29562220.0,8,166,4,4,34.0,134,E,Minor,81,53,72,51,0,12,5,2023-07-07,0,low,fast,high_energy,high_dance,party_song,328.0,23649787.2,89,17.202007786539756
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6,6,202.0,158,A#,Major,54,50,40,61,0,10,6,2022-04-20,1,low,fast,low_energy,mid_dance,chill_song,553.0,61847718.10000001,278,18.163328852528405
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,1034,37,312.0,116,C#,Major,80,92,80,4,0,10,3,2017-11-10,6,high,medium,high_energy,high_dance,party_song,23051.0,1284181719.7,22515,21.19652946349691
